Company,Symbol,Industry
3M,MMM,Conglomerate
American Express,AXP,Consumer finance
Apple,AAPL,Consumer electronics
Boeing,BA,Aerospace and defense
Caterpillar,CAT,Construction and mining equipment
Chevron,CVX,Oil & gas
Cisco Systems,CSCO,Computer networking
Coca-Cola,KO,Beverages
DuPont,DD,Chemical industry
ExxonMobil,XOM,Oil & gas
General Electric,GE,Conglomerate
Goldman Sachs,GS,"Banking, Financial services"
The Home Depot,HD,Home improvement retailer
Intel,INTC,Semiconductors
IBM,IBM,Computers and technology
Johnson & Johnson,JNJ,Pharmaceuticals
JPMorgan Chase,JPM,Banking
McDonald's,MCD,Fast food
Merck,MRK,Pharmaceuticals
Microsoft,MSFT,Consumer electronics
Nike,NKE,Apparel
Pfizer,PFE,Pharmaceuticals
Procter & Gamble,PG,Consumer goods
Travelers,TRV,Insurance
UnitedHealth Group,UNH,Managed health care
United Technologies,UTX,Conglomerate
Verizon,VZ,Telecommunication
Visa,V,Consumer banking
Wal-Mart,WMT,Retail
Walt Disney,DIS,Broadcasting and entertainment
