"Date","Value"
2010-01-04,217.488
2010-01-05,217.488
2010-01-06,217.488
2010-01-07,217.488
2010-01-08,217.488
2010-01-11,217.488
2010-01-12,217.488
2010-01-13,217.488
2010-01-14,217.488
2010-01-15,217.488
2010-01-19,217.488
2010-01-20,217.488
2010-01-21,217.488
2010-01-22,217.488
2010-01-25,217.488
2010-01-26,217.488
2010-01-27,217.488
2010-01-28,217.488
2010-01-29,217.488
2010-02-01,217.281
2010-02-02,217.281
2010-02-03,217.281
2010-02-04,217.281
2010-02-05,217.281
2010-02-08,217.281
2010-02-09,217.281
2010-02-10,217.281
2010-02-11,217.281
2010-02-12,217.281
2010-02-16,217.281
2010-02-17,217.281
2010-02-18,217.281
2010-02-19,217.281
2010-02-22,217.281
2010-02-23,217.281
2010-02-24,217.281
2010-02-25,217.281
2010-02-26,217.281
2010-03-01,217.353
2010-03-02,217.353
2010-03-03,217.353
2010-03-04,217.353
2010-03-05,217.353
2010-03-08,217.353
2010-03-09,217.353
2010-03-10,217.353
2010-03-11,217.353
2010-03-12,217.353
2010-03-15,217.353
2010-03-16,217.353
2010-03-17,217.353
2010-03-18,217.353
2010-03-19,217.353
2010-03-22,217.353
2010-03-23,217.353
2010-03-24,217.353
2010-03-25,217.353
2010-03-26,217.353
2010-03-29,217.353
2010-03-30,217.353
2010-03-31,217.353
2010-04-01,217.403
2010-04-05,217.403
2010-04-06,217.403
2010-04-07,217.403
2010-04-08,217.403
2010-04-09,217.403
2010-04-12,217.403
2010-04-13,217.403
2010-04-14,217.403
2010-04-15,217.403
2010-04-16,217.403
2010-04-19,217.403
2010-04-20,217.403
2010-04-21,217.403
2010-04-22,217.403
2010-04-23,217.403
2010-04-26,217.403
2010-04-27,217.403
2010-04-28,217.403
2010-04-29,217.403
2010-04-30,217.403
2010-05-03,217.29
2010-05-04,217.29
2010-05-05,217.29
2010-05-06,217.29
2010-05-07,217.29
2010-05-10,217.29
2010-05-11,217.29
2010-05-12,217.29
2010-05-13,217.29
2010-05-14,217.29
2010-05-17,217.29
2010-05-18,217.29
2010-05-19,217.29
2010-05-20,217.29
2010-05-21,217.29
2010-05-24,217.29
2010-05-25,217.29
2010-05-26,217.29
2010-05-27,217.29
2010-05-28,217.29
2010-06-01,217.199
2010-06-02,217.199
2010-06-03,217.199
2010-06-04,217.199
2010-06-07,217.199
2010-06-08,217.199
2010-06-09,217.199
2010-06-10,217.199
2010-06-11,217.199
2010-06-14,217.199
2010-06-15,217.199
2010-06-16,217.199
2010-06-17,217.199
2010-06-18,217.199
2010-06-21,217.199
2010-06-22,217.199
2010-06-23,217.199
2010-06-24,217.199
2010-06-25,217.199
2010-06-28,217.199
2010-06-29,217.199
2010-06-30,217.199
2010-07-01,217.605
2010-07-02,217.605
2010-07-06,217.605
2010-07-07,217.605
2010-07-08,217.605
2010-07-09,217.605
2010-07-12,217.605
2010-07-13,217.605
2010-07-14,217.605
2010-07-15,217.605
2010-07-16,217.605
2010-07-19,217.605
2010-07-20,217.605
2010-07-21,217.605
2010-07-22,217.605
2010-07-23,217.605
2010-07-26,217.605
2010-07-27,217.605
2010-07-28,217.605
2010-07-29,217.605
2010-07-30,217.605
2010-08-02,217.923
2010-08-03,217.923
2010-08-04,217.923
2010-08-05,217.923
2010-08-06,217.923
2010-08-09,217.923
2010-08-10,217.923
2010-08-11,217.923
2010-08-12,217.923
2010-08-13,217.923
2010-08-16,217.923
2010-08-17,217.923
2010-08-18,217.923
2010-08-19,217.923
2010-08-20,217.923
2010-08-23,217.923
2010-08-24,217.923
2010-08-25,217.923
2010-08-26,217.923
2010-08-27,217.923
2010-08-30,217.923
2010-08-31,217.923
2010-09-01,218.275
2010-09-02,218.275
2010-09-03,218.275
2010-09-07,218.275
2010-09-08,218.275
2010-09-09,218.275
2010-09-10,218.275
2010-09-13,218.275
2010-09-14,218.275
2010-09-15,218.275
2010-09-16,218.275
2010-09-17,218.275
2010-09-20,218.275
2010-09-21,218.275
2010-09-22,218.275
2010-09-23,218.275
2010-09-24,218.275
2010-09-27,218.275
2010-09-28,218.275
2010-09-29,218.275
2010-09-30,218.275
2010-10-01,219.035
2010-10-04,219.035
2010-10-05,219.035
2010-10-06,219.035
2010-10-07,219.035
2010-10-08,219.035
2010-10-11,219.035
2010-10-12,219.035
2010-10-13,219.035
2010-10-14,219.035
2010-10-15,219.035
2010-10-18,219.035
2010-10-19,219.035
2010-10-20,219.035
2010-10-21,219.035
2010-10-22,219.035
2010-10-25,219.035
2010-10-26,219.035
2010-10-27,219.035
2010-10-28,219.035
2010-10-29,219.035
2010-11-01,219.59
2010-11-02,219.59
2010-11-03,219.59
2010-11-04,219.59
2010-11-05,219.59
2010-11-08,219.59
2010-11-09,219.59
2010-11-10,219.59
2010-11-11,219.59
2010-11-12,219.59
2010-11-15,219.59
2010-11-16,219.59
2010-11-17,219.59
2010-11-18,219.59
2010-11-19,219.59
2010-11-22,219.59
2010-11-23,219.59
2010-11-24,219.59
2010-11-26,219.59
2010-11-29,219.59
2010-11-30,219.59
2010-12-01,220.472
2010-12-02,220.472
2010-12-03,220.472
2010-12-06,220.472
2010-12-07,220.472
2010-12-08,220.472
2010-12-09,220.472
2010-12-10,220.472
2010-12-13,220.472
2010-12-14,220.472
2010-12-15,220.472
2010-12-16,220.472
2010-12-17,220.472
2010-12-20,220.472
2010-12-21,220.472
2010-12-22,220.472
2010-12-23,220.472
2010-12-27,220.472
2010-12-28,220.472
2010-12-29,220.472
2010-12-30,220.472
2010-12-31,220.472
2011-01-03,221.148
2011-01-04,221.148
2011-01-05,221.148
2011-01-06,221.148
2011-01-07,221.148
2011-01-10,221.148
2011-01-11,221.148
2011-01-12,221.148
2011-01-13,221.148
2011-01-14,221.148
2011-01-18,221.148
2011-01-19,221.148
2011-01-20,221.148
2011-01-21,221.148
2011-01-24,221.148
2011-01-25,221.148
2011-01-26,221.148
2011-01-27,221.148
2011-01-28,221.148
2011-01-31,221.148
2011-02-01,221.904
2011-02-02,221.904
2011-02-03,221.904
2011-02-04,221.904
2011-02-07,221.904
2011-02-08,221.904
2011-02-09,221.904
2011-02-10,221.904
2011-02-11,221.904
2011-02-14,221.904
2011-02-15,221.904
2011-02-16,221.904
2011-02-17,221.904
2011-02-18,221.904
2011-02-22,221.904
2011-02-23,221.904
2011-02-24,221.904
2011-02-25,221.904
2011-02-28,221.904
2011-03-01,223.044
2011-03-02,223.044
2011-03-03,223.044
2011-03-04,223.044
2011-03-07,223.044
2011-03-08,223.044
2011-03-09,223.044
2011-03-10,223.044
2011-03-11,223.044
2011-03-14,223.044
2011-03-15,223.044
2011-03-16,223.044
2011-03-17,223.044
2011-03-18,223.044
2011-03-21,223.044
2011-03-22,223.044
2011-03-23,223.044
2011-03-24,223.044
2011-03-25,223.044
2011-03-28,223.044
2011-03-29,223.044
2011-03-30,223.044
2011-03-31,223.044
2011-04-01,224.06
2011-04-04,224.06
2011-04-05,224.06
2011-04-06,224.06
2011-04-07,224.06
2011-04-08,224.06
2011-04-11,224.06
2011-04-12,224.06
2011-04-13,224.06
2011-04-14,224.06
2011-04-15,224.06
2011-04-18,224.06
2011-04-19,224.06
2011-04-20,224.06
2011-04-21,224.06
2011-04-25,224.06
2011-04-26,224.06
2011-04-27,224.06
2011-04-28,224.06
2011-04-29,224.06
2011-05-02,224.869
2011-05-03,224.869
2011-05-04,224.869
2011-05-05,224.869
2011-05-06,224.869
2011-05-09,224.869
2011-05-10,224.869
2011-05-11,224.869
2011-05-12,224.869
2011-05-13,224.869
2011-05-16,224.869
2011-05-17,224.869
2011-05-18,224.869
2011-05-19,224.869
