Company,rvalue
X3M.Company.Industrials,67.23603322
Abbott.Laboratories.Health.Care,37.78716366
Accenture.plc.Information.Technology,47.84115888
ACE.Limited.Financials,56.2203074
Adobe.Systems.Inc.Information.Technology,37.08659258
AES.Corp.Utilities,48.04232515
Aetna.Inc.Health.Care,35.47940968
AFLAC.Inc.Financials,65.63475054
Affiliated.Managers.Group.Inc.Financials,69.7544594
Agilent.Technologies.Inc.Health.Care,58.28359757
AGL.Resources.Inc..Utilities,43.07728454
Air.Products...Chemicals.Inc.Materials,55.38548017
Airgas.Inc.Materials,31.38624543
Akamai.Technologies.Inc.Information.Technology,26.42715736
Alcoa.Inc.Materials,53.30411406
Allergan.plc.Health.Care,24.99060429
Alexion.Pharmaceuticals.Health.Care,25.10132832
Allegheny.Technologies.Inc.Materials,50.71949362
Alliance.Data.Systems.Information.Technology,41.42380085
Allstate.Corp.Financials,56.73648135
Altera.Corp.Information.Technology,34.65825491
Altria.Group.Inc.Consumer.Staples,34.7846072
Amazon.com.Inc.Consumer.Discretionary,27.23247981
Ameren.Corp.Utilities,36.00848301
American.Airlines.Group.Industrials,20.05172564
American.Electric.Power.Utilities,33.63021142
American.Express.Co.Financials,58.43637945
American.International.Group..Inc..Financials,43.81471777
American.Tower.Corp.A.Financials,34.93035842
Ameriprise.Financial.Financials,70.59131151
AmerisourceBergen.Corp.Health.Care,34.64935133
Ametek.Industrials,63.20914614
Amgen.Inc.Health.Care,31.20979641
Amphenol.Corp.A.Industrials,58.60283111
Anadarko.Petroleum.Corp.Energy,41.93192615
Analog.Devices..Inc..Information.Technology,52.55642523
Aon.plc.Financials,50.56528343
Apache.Corporation.Energy,49.82528918
Apartment.Investment...Mgmt.Financials,47.34163425
Apple.Inc..Information.Technology,28.69567848
Applied.Materials.Inc.Information.Technology,47.84826282
Archer.Daniels.Midland.Co.Consumer.Staples,44.3236691
Assurant.Inc.Financials,46.63674046
AT.T.Inc.Telecommunications.Services,39.93289472
Autodesk.Inc.Information.Technology,46.993459
Automatic.Data.Processing.Information.Technology,67.4264457
AutoNation.Inc.Consumer.Discretionary,36.77406412
AutoZone.Inc.Consumer.Discretionary,20.73542634
Avago.Technologies.Information.Technology,30.20056077
AvalonBay.Communities..Inc..Financials,39.5007816
Avery.Dennison.Corp.Materials,45.1395521
Baker.Hughes.Inc.Energy,45.04824901
Ball.Corp.Materials,51.22371837
Bank.of.America.Corp.Financials,52.51543792
The.Bank.of.New.York.Mellon.Corp..Financials,60.50998867
Bard..C.R...Inc..Health.Care,38.10503627
Baxter.International.Inc..Health.Care,35.85796682
BB.T.Corporation.Financials,56.72320482
Becton.Dickinson.Health.Care,46.69524156
Bed.Bath...Beyond.Consumer.Discretionary,31.69174381
Berkshire.Hathaway.Financials,63.4074028
Best.Buy.Co..Inc..Consumer.Discretionary,13.483319
BIOGEN.IDEC.Inc..Health.Care,25.59943154
BlackRock.Financials,63.34734364
Block.H.R.Financials,26.51916663
Boeing.Company.Industrials,52.61510055
BorgWarner.Consumer.Discretionary,52.35345414
Boston.Properties.Financials,53.61605113
Boston.Scientific.Health.Care,29.31448894
Bristol.Myers.Squibb.Health.Care,25.85914427
Broadcom.Corporation.Information.Technology,36.19358121
Brown.Forman.Corporation.Consumer.Staples,46.48207359
C..H..Robinson.Worldwide.Industrials,34.4591753
CA..Inc..Information.Technology,51.84937864
Cablevision.Systems.Corp..Consumer.Discretionary,26.23658001
Cabot.Oil...Gas.Energy,31.13002449
Cameron.International.Corp..Energy,44.80832561
Campbell.Soup.Consumer.Staples,25.08384754
Capital.One.Financial.Financials,51.38314407
Cardinal.Health.Inc..Health.Care,41.67403967
Henry.Schein.Health.Care,56.60165115
Carmax.Inc.Consumer.Discretionary,37.72603979
Carnival.Corp..Consumer.Discretionary,46.35030202
Caterpillar.Inc..Industrials,60.47342869
CBRE.Group.Financials,53.05278805
CBS.Corp..Consumer.Discretionary,57.26244695
Celgene.Corp..Health.Care,31.66847912
CenterPoint.Energy.Utilities,40.05375655
CenturyLink.Inc.Telecommunications.Services,20.82895706
Cerner.Health.Care,39.42365262
CF.Industries.Holdings.Inc.Materials,28.1110029
Charles.Schwab.Corporation.Financials,53.11538765
Chesapeake.Energy.Energy,28.07042739
Chevron.Corp..Energy,61.2993371
Chipotle.Mexican.Grill.Consumer.Discretionary,19.85887465
Chubb.Corp..Financials,56.83963701
CIGNA.Corp..Health.Care,40.90139401
Cimarex.Energy.Energy,37.62646668
Cincinnati.Financial.Financials,68.81073807
Cintas.Corporation.Industrials,55.69310075
Cisco.Systems.Information.Technology,34.00732024
Citigroup.Inc..Financials,58.43486039
Citrix.Systems.Information.Technology,33.66783633
The.Clorox.Company.Consumer.Staples,23.08775925
CME.Group.Inc..Financials,42.00348672
CMS.Energy.Utilities,37.87965771
Coach.Inc..Consumer.Discretionary,30.95819925
The.Coca.Cola.Company.Consumer.Staples,38.14444961
Coca.Cola.Enterprises.Consumer.Staples,39.49336023
Cognizant.Technology.Solutions.Information.Technology,40.55692555
Colgate.Palmolive.Consumer.Staples,33.27316717
Comcast.Corp..Consumer.Discretionary,49.39037169
Comerica.Inc..Financials,51.44030296
Computer.Sciences.Corp..Information.Technology,36.33874595
