"Companies","Cluster-1","Cluster-2","Cluster-3","Cluster-4","Cluster-5","Cluster-6","Cluster-7","Cluster-8","Cluster-9","Cluster-10"
"X3M.Company.Industrials",0.439815477716582,0.0826037465262093,0.103205341580227,0.628868974626656,0.286567003582788,0.00288175364104011,0.583144044620897,0.430958683441196,0.161744574931344,0.428104095862688
"Abbott.Laboratories.Health.Care",0.931255342531585,0.881200674343004,0.711127432542284,0.854800168018279,0.309156236014908,0.599189007039698,0.941526084058717,0.732790668455148,0.576002076509879,0.410504049425478
"Accenture.plc.Information.Technology",0.513193959320852,0.842722481109238,0.620596261639078,0.631346439949736,0.888697611690752,0.981782221956109,0.759442765609461,0.146564257835906,0.585683456353143,0.792741225950567
"ACE.Limited.Financials",0.570601595262908,0.350052942034523,0.750468308657237,0.284784189271708,0.35265911675377,0.168457695678578,0.832234047780634,0.033973709038773,0.980365909965511,0.348970842463831
"Adobe.Systems.Inc.Information.Technology",0.0270247998269386,0.929625020810727,0.481922769853629,0.706715519835042,0.0821868851583007,0.443155003604325,0.729852166121006,0.344678469126252,0.79813433446854,0.562666797065349
"AES.Corp.Utilities",0.369359347825062,0.163139494790815,0.633299040613135,0.804320796026803,0.207731563245427,0.0356643516642157,0.512308933785308,0.0212855241254641,0.149506912942992,0.769380087599821
"Aetna.Inc.Health.Care",0.947078454861601,0.722234674339798,0.269752810715336,0.800238329470791,0.487948833704762,0.0668486597937669,0.375804088619388,0.0240817831485423,0.232782563277106,0.876684436226701
"AFLAC.Inc.Financials",0.155998201861272,0.0997123775312182,0.0446488817782506,0.162938182838757,0.605017016994598,0.545802201729315,0.680020049028758,0.672740867408077,0.256729820774208,0.631862399940825
"Affiliated.Managers.Group.Inc.Financials",0.8548032031815,0.174144808201892,0.342222421382132,0.000179267383193501,0.0600055973270209,0.691180070160494,0.632622930339192,0.157360408003335,0.801588569240407,0.128830807558591
"Agilent.Technologies.Inc.Health.Care",0.809259344122287,0.00588592134481981,0.114025946488647,0.26061279322481,0.827661069847355,0.491818734848198,0.478681698615453,0.332289777502599,0.30376737299999,0.049158295858105
"AGL.Resources.Inc..Utilities",0.192271038162593,0.142406535162842,0.757644799525804,0.58493522207659,0.831552483266595,0.0134844131271074,0.522646960661043,0.903278137877337,0.385072194633987,0.418690238770997
"Air.Products...Chemicals.Inc.Materials",0.103446137271738,0.572693200356242,0.0107667895419948,0.400621133542559,0.67069317405649,0.218109595939981,0.0119692699625811,0.81579313576888,0.378374677000172,0.316024139580778
"Airgas.Inc.Materials",0.675315916798295,0.996152056095229,0.0772602465036798,0.983842432598222,0.916606133903088,0.249878511456111,0.760234847284242,0.11317075775324,0.716225809325935,0.424827023915931
"Akamai.Technologies.Inc.Information.Technology",0.756905888437504,0.245947225502645,0.0265641159213955,0.0529985668873858,0.619519731857249,0.592823657969529,0.702395069558584,0.504544353046376,0.305922618083942,0.125252613751867
"Alcoa.Inc.Materials",0.943612377229106,0.025558825483082,0.766738288465072,0.754393893582828,0.44050129645375,0.606508242087039,0.0068010523771064,0.756271277203687,0.314026723031532,0.0996921496382913
"Allergan.plc.Health.Care",0.141016498744249,0.4072297550266,0.0167238188825263,0.430801473138872,0.0431520106074755,0.325010802790119,0.939526325260265,0.815142324060992,0.233958721781331,0.518695162886933
"Alexion.Pharmaceuticals.Health.Care",0.924479706189926,0.108356012284093,0.342299580949877,0.282592446903368,0.0354900561200947,0.0957984701200285,0.950397304945667,0.0172966522653302,0.851867045285897,0.266382859019644
"Allegheny.Technologies.Inc.Materials",0.801953983880709,0.38264232833427,0.00240182976172711,0.171502541962021,0.248369357770384,0.34138863889343,0.518624318285398,0.921956870309443,0.606270032854204,0.501677997642705
"Alliance.Data.Systems.Information.Technology",0.829660906631053,0.707285722684303,0.0901548486401622,0.015658978354424,0.459086081105531,0.453744884644807,0.198257566144592,0.0340078727727354,0.0619499034303587,0.420341828875847
"Allstate.Corp.Financials",0.308674618885513,0.00807856280679646,0.571009339585546,0.734999554967046,0.752515926064427,0.0254216852679936,0.029280472396347,0.745621848253152,0.0872824296040571,0.841486888948899
"Altera.Corp.Information.Technology",0.721892605083825,0.92421866002452,0.0313417242990064,0.578469523720627,0.93157429345277,0.986314692538207,0.018797609257974,0.71660412505367,0.781264001750027,0.214365710848868
"Altria.Group.Inc.Consumer.Staples",0.699667590240447,0.0988113939826459,0.951175275385105,0.452282275847124,0.834277353049527,0.0464290188394632,0.526096685663054,0.280249926121068,0.759512842486756,0.109992702489216
"Amazon.com.Inc.Consumer.Discretionary",0.10569633461417,0.534230629113217,0.415225483373941,0.381728620524423,0.616837874218379,0.0407357972735732,0.0528983193958098,0.524226492596123,0.875197516755256,0.605857877241923
"Ameren.Corp.Utilities",0.822065773500615,0.91362377340775,0.14387671757852,0.647931018061637,0.25976632302048,0.0897437802540153,0.208970126927101,0.0788094334401991,0.954323414351953,0.409322412269991
"American.Airlines.Group.Industrials",0.257976054999798,0.187000188718179,0.198897925777945,0.0312321756152078,0.94918974224417,0.168964046264729,0.415028231619015,0.643913579509579,0.591927731063771,0.00977862151589924
"American.Electric.Power.Utilities",0.100383979953648,0.0632147690445769,0.11428242504832,0.0363021752013098,0.675580529091899,0.206884532390758,0.171134646861215,0.467979562892286,0.771672074311103,0.63656142653947
"American.Express.Co.Financials",0.981219373369021,0.802203838664052,0.188167390816515,0.597206207272855,0.261480422407781,0.329906339559153,0.619788447837528,0.758685119819776,0.881701825239085,0.112280976230799
"American.International.Group..Inc..Financials",0.913397353770206,0.52631031750269,0.666425649460381,0.969461374424292,0.934465811964998,0.114499086249997,0.827115441773157,0.406818718726697,0.941945138389924,0.186738527604889
"American.Tower.Corp.A.Financials",0.451618003968657,0.502521140319553,0.694731751689714,0.522357146880249,0.553532170037306,0.459809792769915,0.173200848077609,0.839724310840542,0.157545922626406,0.227916626525155
"Ameriprise.Financial.Financials",0.624042070445863,0.8458892989832,0.136067008481006,0.165303814140985,0.593230173326289,0.891590641925919,0.0278400681485663,0.780711264536002,0.0997412167857849,0.719327788968841
"AmerisourceBergen.Corp.Health.Care",0.178829494200024,0.980273090392656,0.140739505415296,0.844813078512398,0.286437628554075,0.884206363263627,0.419852164341817,0.531284091101951,0.479955944070022,0.771439154721245
"Ametek.Industrials",0.561083114668175,0.165703455846459,0.138779211081174,0.361212768954604,0.478577781019024,0.30675224542397,0.766590958130127,0.614082657884036,0.243001296421904,0.18806976074186
"Amgen.Inc.Health.Care",0.216135672912601,0.705451205520284,0.272035031668642,0.556320765227672,0.146432685456861,8.98395527329568e-05,0.54351831903578,0.74062189776699,0.226940915168461,0.595505792378624
"Amphenol.Corp.A.Industrials",0.206520853777445,0.261913982804367,0.185817512787931,0.0244314063002317,0.762742923834844,0.52657083883971,0.862805506249301,0.248185620273851,0.126266900504107,0.0137029232293737
"Anadarko.Petroleum.Corp.Energy",0.19192758859718,0.566167399818338,0.321900942887145,0.0643846413601086,0.691940171827753,0.38723085831314,0.42742189736724,0.752901605643569,0.187153692964104,0.034461881239245
