"Company","MinIndex"
"X3M.Company.Industrials",6
"Abbott.Laboratories.Health.Care",5
"Accenture.plc.Information.Technology",8
"ACE.Limited.Financials",8
"Adobe.Systems.Inc.Information.Technology",1
"AES.Corp.Utilities",8
"Aetna.Inc.Health.Care",8
"AFLAC.Inc.Financials",3
"Affiliated.Managers.Group.Inc.Financials",4
"Agilent.Technologies.Inc.Health.Care",2
"AGL.Resources.Inc..Utilities",6
"Air.Products...Chemicals.Inc.Materials",3
"Airgas.Inc.Materials",3
"Akamai.Technologies.Inc.Information.Technology",3
"Alcoa.Inc.Materials",7
"Allergan.plc.Health.Care",3
"Alexion.Pharmaceuticals.Health.Care",8
"Allegheny.Technologies.Inc.Materials",3
"Alliance.Data.Systems.Information.Technology",4
"Allstate.Corp.Financials",2
"Altera.Corp.Information.Technology",7
"Altria.Group.Inc.Consumer.Staples",6
"Amazon.com.Inc.Consumer.Discretionary",6
"Ameren.Corp.Utilities",8
"American.Airlines.Group.Industrials",10
"American.Electric.Power.Utilities",4
"American.Express.Co.Financials",10
"American.International.Group..Inc..Financials",6
"American.Tower.Corp.A.Financials",9
"Ameriprise.Financial.Financials",7
"AmerisourceBergen.Corp.Health.Care",3
"Ametek.Industrials",3
"Amgen.Inc.Health.Care",6
"Amphenol.Corp.A.Industrials",10
"Anadarko.Petroleum.Corp.Energy",10
"Analog.Devices..Inc..Information.Technology",3
"Aon.plc.Financials",4
"Apache.Corporation.Energy",8
"Apartment.Investment...Mgmt.Financials",4
"Apple.Inc..Information.Technology",1
"Applied.Materials.Inc.Information.Technology",6
"Archer.Daniels.Midland.Co.Consumer.Staples",6
"Assurant.Inc.Financials",1
"AT.T.Inc.Telecommunications.Services",9
"Autodesk.Inc.Information.Technology",6
"Automatic.Data.Processing.Information.Technology",3
"AutoNation.Inc.Consumer.Discretionary",5
"AutoZone.Inc.Consumer.Discretionary",4
"Avago.Technologies.Information.Technology",4
"AvalonBay.Communities..Inc..Financials",8
"Avery.Dennison.Corp.Materials",1
"Baker.Hughes.Inc.Energy",1
"Ball.Corp.Materials",7
"Bank.of.America.Corp.Financials",4
"The.Bank.of.New.York.Mellon.Corp..Financials",3
"Bard..C.R...Inc..Health.Care",6
"Baxter.International.Inc..Health.Care",10
"BB.T.Corporation.Financials",2
"Becton.Dickinson.Health.Care",7
"Bed.Bath...Beyond.Consumer.Discretionary",2
"Berkshire.Hathaway.Financials",9
"Best.Buy.Co..Inc..Consumer.Discretionary",3
"BIOGEN.IDEC.Inc..Health.Care",8
"BlackRock.Financials",2
"Block.H.R.Financials",5
"Boeing.Company.Industrials",10
"BorgWarner.Consumer.Discretionary",10
"Boston.Properties.Financials",5
"Boston.Scientific.Health.Care",3
"Bristol.Myers.Squibb.Health.Care",2
"Broadcom.Corporation.Information.Technology",7
"Brown.Forman.Corporation.Consumer.Staples",10
"C..H..Robinson.Worldwide.Industrials",6
"CA..Inc..Information.Technology",2
"Cablevision.Systems.Corp..Consumer.Discretionary",6
"Cabot.Oil...Gas.Energy",3
"Cameron.International.Corp..Energy",4
"Campbell.Soup.Consumer.Staples",1
"Capital.One.Financial.Financials",4
"Cardinal.Health.Inc..Health.Care",9
"Henry.Schein.Health.Care",3
"Carmax.Inc.Consumer.Discretionary",4
"Carnival.Corp..Consumer.Discretionary",7
"Caterpillar.Inc..Industrials",5
"CBRE.Group.Financials",10
"CBS.Corp..Consumer.Discretionary",6
"Celgene.Corp..Health.Care",6
"CenterPoint.Energy.Utilities",5
"CenturyLink.Inc.Telecommunications.Services",4
"Cerner.Health.Care",3
"CF.Industries.Holdings.Inc.Materials",1
"Charles.Schwab.Corporation.Financials",5
"Chesapeake.Energy.Energy",4
"Chevron.Corp..Energy",2
"Chipotle.Mexican.Grill.Consumer.Discretionary",2
"Chubb.Corp..Financials",4
"CIGNA.Corp..Health.Care",8
"Cimarex.Energy.Energy",6
"Cincinnati.Financial.Financials",1
"Cintas.Corporation.Industrials",9
"Cisco.Systems.Information.Technology",4
"Citigroup.Inc..Financials",4
"Citrix.Systems.Information.Technology",4
"The.Clorox.Company.Consumer.Staples",4
"CME.Group.Inc..Financials",4
"CMS.Energy.Utilities",9
"Coach.Inc..Consumer.Discretionary",5
"The.Coca.Cola.Company.Consumer.Staples",2
"Coca.Cola.Enterprises.Consumer.Staples",6
"Cognizant.Technology.Solutions.Information.Technology",4
"Colgate.Palmolive.Consumer.Staples",5
"Comcast.Corp..Consumer.Discretionary",10
"Comerica.Inc..Financials",1
"Computer.Sciences.Corp..Information.Technology",5
"ConAgra.Foods.Inc..Consumer.Staples",7
"ConocoPhillips.Energy",1
"CONSOL.Energy.Inc..Energy",5
"Consolidated.Edison.Utilities",8
"Constellation.Brands.Consumer.Staples",4
"Corning.Inc..Industrials",3
"Costco.Co..Consumer.Staples",5
"Crown.Castle.International.Corp..Financials",6
"CSX.Corp..Industrials",10
"Cummins.Inc..Industrials",4
"CVS.Caremark.Corp..Consumer.Staples",8
"D..R..Horton.Consumer.Discretionary",5
"Danaher.Corp..Industrials",8
"Darden.Restaurants.Consumer.Discretionary",2
"DaVita.Inc..Health.Care",5
"Deere...Co..Industrials",2
"Delta.Air.Lines.Industrials",2
"Dentsply.International.Health.Care",9
"Devon.Energy.Corp..Energy",3
"Diamond.Offshore.Drilling.Energy",1
"DirecTV.Consumer.Discretionary",6
"Discover.Financial.Services.Financials",7
"Discovery.Communications.A.Consumer.Discretionary",7
"Discovery.Communications.C.Consumer.Discretionary",7
"Dollar.General.Consumer.Discretionary",6
"Dollar.Tree.Consumer.Discretionary",9
"Dominion.Resources.Utilities",7
"Dover.Corp..Industrials",2
"Dow.Chemical.Materials",8
"Dr.Pepper.Snapple.Group.Consumer.Staples",8
"DTE.Energy.Co..Utilities",5
"Du.Pont..E.I...Materials",5
"Duke.Energy.Utilities",9
"Dun...Bradstreet.Industrials",8
"E.Trade.Financials",5
"Eastman.Chemical.Materials",2
"Eaton.Corporation.Industrials",5
"eBay.Inc..Information.Technology",4
"Ecolab.Inc..Materials",5
"Edison.Int.l.Utilities",2
"Edwards.Lifesciences.Health.Care",9
"Electronic.Arts.Information.Technology",5
"EMC.Corp..Information.Technology",1
"Emerson.Electric.Company.Industrials",2
"Endo.International.Health.Care",10
"Ensco.plc.Energy",10
"Entergy.Corp..Utilities",3
"EOG.Resources.Energy",7
"EQT.Corporation.Energy",5
"Equifax.Inc..Financials",5
"Equinix.Information.Technology",5
"Equity.Residential.Financials",9
"Essex.Property.Trust.Inc.Financials",9
"Estee.Lauder.Cos..Consumer.Staples",10
"Eversource.Energy.Utilities",8
"Exelon.Corp..Utilities",5
"Expedia.Inc..Consumer.Discretionary",5
"Expeditors.Int.l.Industrials",7
"Express.Scripts.Health.Care",6
"Exxon.Mobil.Corp..Energy",6
"F5.Networks.Information.Technology",9
"Family.Dollar.Stores.Consumer.Discretionary",8
"Fastenal.Co.Industrials",10
"FedEx.Corporation.Industrials",2
"Fidelity.National.Information.Services.Information.Technology",8
"Fifth.Third.Bancorp.Financials",10
"First.Solar.Inc.Information.Technology",5
"FirstEnergy.Corp.Utilities",6
"Fiserv.Inc.Information.Technology",9
"FLIR.Systems.Industrials",10
"Flowserve.Corporation.Industrials",5
"Fluor.Corp..Industrials",4
"FMC.Corporation.Materials",3
"FMC.Technologies.Inc..Energy",9
"Ford.Motor.Consumer.Discretionary",6
"Fossil..Inc..Consumer.Discretionary",6
"Franklin.Resources.Financials",6
"Freeport.McMoran.Cp...Gld.Materials",7
"Frontier.Communications.Telecommunications.Services",3
"GameStop.Corp..Consumer.Discretionary",8
"Gap..The..Consumer.Discretionary",1
"Garmin.Ltd..Consumer.Discretionary",6
"General.Dynamics.Industrials",10
"General.Electric.Industrials",10
"General.Growth.Properties.Inc..Financials",8
"General.Mills.Consumer.Staples",2
"Genuine.Parts.Consumer.Discretionary",5
"Genworth.Financial.Inc..Financials",7
"Gilead.Sciences.Health.Care",2
"Goldman.Sachs.Group.Financials",1
"Goodyear.Tire...Rubber.Consumer.Discretionary",6
"Google.Inc.Class.A.Information.Technology",9
"Grainger..W.W...Inc..Industrials",5
"Halliburton.Co..Energy",4
"Hanesbrands.Inc.Consumer.Discretionary",7
"Harley.Davidson.Consumer.Discretionary",10
"Harman.Int.l.Industries.Consumer.Discretionary",8
"Harris.Corporation.Information.Technology",8
"Hartford.Financial.Svc.Gp..Financials",1
"Hasbro.Inc..Consumer.Discretionary",4
"HCP.Inc..Financials",6
"Health.Care.REIT..Inc..Financials",7
"Helmerich...Payne.Energy",5
"Hess.Corporation.Energy",3
"Hewlett.Packard.Information.Technology",1
"Home.Depot.Consumer.Discretionary",4
"Honeywell.Int.l.Inc..Industrials",10
"Hormel.Foods.Corp..Consumer.Staples",7
"Hospira.Inc..Health.Care",4
"Host.Hotels...Resorts.Financials",10
"Hudson.City.Bancorp.Financials",3
"Humana.Inc..Health.Care",6
"Huntington.Bancshares.Financials",10
"Illinois.Tool.Works.Industrials",3
"Ingersoll.Rand.PLC.Industrials",2
"Integrys.Energy.Group.Inc..Utilities",8
"Intel.Corp..Information.Technology",3
"Intercontinental.Exchange.Financials",1
"International.Bus..Machines.Information.Technology",6
"International.Paper.Materials",4
"Interpublic.Group.Consumer.Discretionary",3
"Intl.Flavors...Fragrances.Materials",2
"Intuit.Inc..Information.Technology",7
"Intuitive.Surgical.Inc..Health.Care",10
"Invesco.Ltd..Financials",4
"Iron.Mountain.Incorporated.Industrials",6
"Jacobs.Engineering.Group.Industrials",3
"Johnson...Johnson.Health.Care",5
"Johnson.Controls.Consumer.Discretionary",2
"Joy.Global.Inc..Industrials",6
"JPMorgan.Chase...Co..Financials",6
"Juniper.Networks.Information.Technology",8
