"Company","MaxIndex"
"X3M.Company.Industrials",1
"Abbott.Laboratories.Health.Care",2
"Accenture.plc.Information.Technology",3
"ACE.Limited.Financials",4
"Adobe.Systems.Inc.Information.Technology",3
"AES.Corp.Utilities",5
"Aetna.Inc.Health.Care",2
"AFLAC.Inc.Financials",4
"Affiliated.Managers.Group.Inc.Financials",4
"Agilent.Technologies.Inc.Health.Care",1
"AGL.Resources.Inc..Utilities",5
"Air.Products...Chemicals.Inc.Materials",1
"Airgas.Inc.Materials",1
"Akamai.Technologies.Inc.Information.Technology",3
"Alcoa.Inc.Materials",1
"Allergan.plc.Health.Care",2
"Alexion.Pharmaceuticals.Health.Care",2
"Allegheny.Technologies.Inc.Materials",1
"Alliance.Data.Systems.Information.Technology",9
"Allstate.Corp.Financials",4
"Altera.Corp.Information.Technology",3
"Altria.Group.Inc.Consumer.Staples",6
"Amazon.com.Inc.Consumer.Discretionary",3
"Ameren.Corp.Utilities",5
"American.Airlines.Group.Industrials",1
"American.Electric.Power.Utilities",5
"American.Express.Co.Financials",10
"American.International.Group..Inc..Financials",4
"American.Tower.Corp.A.Financials",6
"Ameriprise.Financial.Financials",4
"AmerisourceBergen.Corp.Health.Care",2
"Ametek.Industrials",1
"Amgen.Inc.Health.Care",2
"Amphenol.Corp.A.Industrials",3
"Anadarko.Petroleum.Corp.Energy",7
"Analog.Devices..Inc..Information.Technology",3
"Aon.plc.Financials",4
"Apache.Corporation.Energy",7
"Apartment.Investment...Mgmt.Financials",8
"Apple.Inc..Information.Technology",3
"Applied.Materials.Inc.Information.Technology",3
"Archer.Daniels.Midland.Co.Consumer.Staples",6
"Assurant.Inc.Financials",4
"AT.T.Inc.Telecommunications.Services",6
"Autodesk.Inc.Information.Technology",3
"Automatic.Data.Processing.Information.Technology",6
"AutoNation.Inc.Consumer.Discretionary",9
"AutoZone.Inc.Consumer.Discretionary",9
"Avago.Technologies.Information.Technology",3
"AvalonBay.Communities..Inc..Financials",8
"Avery.Dennison.Corp.Materials",1
"Baker.Hughes.Inc.Energy",7
"Ball.Corp.Materials",1
"Bank.of.America.Corp.Financials",4
"The.Bank.of.New.York.Mellon.Corp..Financials",4
"Bard..C.R...Inc..Health.Care",2
"Baxter.International.Inc..Health.Care",2
"BB.T.Corporation.Financials",10
"Becton.Dickinson.Health.Care",2
"Bed.Bath...Beyond.Consumer.Discretionary",9
"Berkshire.Hathaway.Financials",4
"Best.Buy.Co..Inc..Consumer.Discretionary",9
"BIOGEN.IDEC.Inc..Health.Care",2
"BlackRock.Financials",4
"Block.H.R.Financials",1
"Boeing.Company.Industrials",1
"BorgWarner.Consumer.Discretionary",1
"Boston.Properties.Financials",8
"Boston.Scientific.Health.Care",2
"Bristol.Myers.Squibb.Health.Care",2
"Broadcom.Corporation.Information.Technology",3
"Brown.Forman.Corporation.Consumer.Staples",6
"C..H..Robinson.Worldwide.Industrials",1
"CA..Inc..Information.Technology",3
"Cablevision.Systems.Corp..Consumer.Discretionary",1
"Cabot.Oil...Gas.Energy",7
"Cameron.International.Corp..Energy",7
"Campbell.Soup.Consumer.Staples",6
"Capital.One.Financial.Financials",10
"Cardinal.Health.Inc..Health.Care",2
"Henry.Schein.Health.Care",2
"Carmax.Inc.Consumer.Discretionary",1
"Carnival.Corp..Consumer.Discretionary",1
"Caterpillar.Inc..Industrials",1
"CBRE.Group.Financials",4
"CBS.Corp..Consumer.Discretionary",1
"Celgene.Corp..Health.Care",2
"CenterPoint.Energy.Utilities",5
"CenturyLink.Inc.Telecommunications.Services",6
"Cerner.Health.Care",3
"CF.Industries.Holdings.Inc.Materials",1
"Charles.Schwab.Corporation.Financials",4
"Chesapeake.Energy.Energy",7
"Chevron.Corp..Energy",7
"Chipotle.Mexican.Grill.Consumer.Discretionary",9
"Chubb.Corp..Financials",4
"CIGNA.Corp..Health.Care",2
"Cimarex.Energy.Energy",7
"Cincinnati.Financial.Financials",4
"Cintas.Corporation.Industrials",1
"Cisco.Systems.Information.Technology",3
"Citigroup.Inc..Financials",4
"Citrix.Systems.Information.Technology",3
"The.Clorox.Company.Consumer.Staples",6
"CME.Group.Inc..Financials",4
"CMS.Energy.Utilities",5
"Coach.Inc..Consumer.Discretionary",9
"The.Coca.Cola.Company.Consumer.Staples",6
"Coca.Cola.Enterprises.Consumer.Staples",6
"Cognizant.Technology.Solutions.Information.Technology",3
"Colgate.Palmolive.Consumer.Staples",6
"Comcast.Corp..Consumer.Discretionary",6
"Comerica.Inc..Financials",10
"Computer.Sciences.Corp..Information.Technology",1
"ConAgra.Foods.Inc..Consumer.Staples",6
"ConocoPhillips.Energy",7
"CONSOL.Energy.Inc..Energy",7
"Consolidated.Edison.Utilities",5
"Constellation.Brands.Consumer.Staples",6
"Corning.Inc..Industrials",1
"Costco.Co..Consumer.Staples",6
"Crown.Castle.International.Corp..Financials",6
