"Companies","Cluster-1","Cluster-2","Cluster-3","Cluster-4","Cluster-5","Cluster-6","Cluster-7","Cluster-8","Cluster-9","Cluster-10"
"X3M.Company.Industrials",0.615946100829124,0.23505195025531,0.150303112337027,0.866267560681755,0.394047382816822,0.0115852626418825,0.599670402433089,0.393228915594757,0.121349770056061,0.626543073200896
"Abbott.Laboratories.Health.Care",0.722629139281425,0.432982479518462,0.789773230908398,0.778865224272798,0.396163547484165,0.762051764304854,0.917994730163007,0.612080199454877,0.641955625595174,0.36792499147818
"Accenture.plc.Information.Technology",0.502361251237678,0.805656733219455,0.59704629061634,0.597900688058114,0.748189632632982,0.976869221748234,0.676841268706548,0.131073944217266,0.517120304336442,0.667860955006322
"ACE.Limited.Financials",0.212348058764219,0.581074724635623,0.508570270904026,0.128974326160399,0.444000844580574,0.313783022956814,0.695230002213089,0.387217040363475,0.847372346836672,0.168435381160762
"Adobe.Systems.Inc.Information.Technology",0.0205506673612853,0.890434116563688,0.879429284203467,0.676270977643103,0.183094622783732,0.578524022255186,0.914465295499289,0.480934119287426,0.777364514613397,0.444669575732836
"AES.Corp.Utilities",0.609323240307816,0.227117976551591,0.678600049037183,0.439359508663588,0.829007135636273,0.441572898468673,0.434865965290909,0.0602815612166045,0.522125137781358,0.999984730246255
"Aetna.Inc.Health.Care",0.969208063829615,0.990911267126468,0.289331313431216,0.650880309042847,0.64709216904816,0.104455206111284,0.724226921759006,0.0951727797302675,0.502274808828026,0.731672369228137
"AFLAC.Inc.Financials",0.024659705373323,0.150392071277397,0.291006379125492,0.684142396315814,0.73698991790686,0.406429642331419,0.571508948162387,0.139970762415525,0.367677024668539,0.114558604694896
"Affiliated.Managers.Group.Inc.Financials",0.613544696288047,0.121106682205275,0.493874637203508,0.000124007414593135,0.172155994466306,0.665901340994754,0.530540615150544,0.00979847197927905,0.57019524521897,0.0814507508779867
"Agilent.Technologies.Inc.Health.Care",0.368512125046611,0.0279230599585441,0.0594996535486242,0.567738035213879,0.633903415988381,0.24890097176428,0.40764045955003,0.356972412623909,0.115228613434149,0.225561915254961
"AGL.Resources.Inc..Utilities",0.526679120541086,0.832215970401076,0.717965704706776,0.10995159783216,0.816621742265401,0.237235031215792,0.973472177153382,0.143662648182424,0.164006245653644,0.170394846809978
"Air.Products...Chemicals.Inc.Materials",0.0612185420904729,0.888131196985465,0.00846214679966148,0.633671246307029,0.544566646247124,0.1117187776247,0.0224850507163584,0.822236433548505,0.210553124404053,0.213477312646881
"Airgas.Inc.Materials",0.619322793993061,0.951666286103035,0.0818330797372309,0.90025914936029,0.858437026863028,0.148057089216803,0.807767172046913,0.151933665971768,0.609929110245702,0.592248016887679
"Akamai.Technologies.Inc.Information.Technology",0.870357526028333,0.257813451972425,0.19440992175334,0.0781936522420217,0.556364995312371,0.575642082619605,0.535179058595857,0.593143244681947,0.421521331678954,0.2605497916162
"Alcoa.Inc.Materials",0.740559840912389,0.0726113794463774,0.858598543883614,0.834265968011501,0.553758570922544,0.422649020467421,0.00572254199163218,0.728246989877934,0.64704068251022,0.316179638571238
"Allergan.plc.Health.Care",0.414266128684971,0.761676709974871,0.0212299970614848,0.253157431451502,0.112269487748361,0.399281867378604,0.650268167972601,0.674742065164851,0.366112581384207,0.599552699378046
"Alexion.Pharmaceuticals.Health.Care",0.671485328596802,0.521752059300049,0.497870408520675,0.236733443726252,0.0310697751744516,0.21070933406056,0.613574303354334,0.0151551821583561,0.621767440856362,0.265916607246974
"Allegheny.Technologies.Inc.Materials",0.799443856453165,0.968124841327402,0.021347785763935,0.0281148603520032,0.266606137046695,0.694097343413911,0.686785836639426,0.975857305959772,0.390372930941181,0.152012198467172
"Alliance.Data.Systems.Information.Technology",0.862912047402186,0.607458680144462,0.0365702942681354,0.023216453680174,0.541950003226594,0.499174467403918,0.18054364633808,0.0275257915654317,0.102011024786266,0.630871688257925
"Allstate.Corp.Financials",0.0552467606579847,0.0222850914451792,0.903171583732805,0.46069293521403,0.94422448933177,0.0445789119545155,0.123967907420869,0.403435595163896,0.0409980074939514,0.292978698809605
"Altera.Corp.Information.Technology",0.771087800251623,0.877451890708323,0.121688151661265,0.570462261803076,0.540438711128641,0.858134885379057,0.00814113443494097,0.83964453161106,0.573640423820088,0.745821698293263
"Altria.Group.Inc.Consumer.Staples",0.955670717523438,0.363072723053035,0.654822713140239,0.540553228833862,0.582665889568475,0.171639262045336,0.958572863448645,0.209972281320385,0.505241376141436,0.0326752422578811
"Amazon.com.Inc.Consumer.Discretionary",0.139101998108324,0.474106688534419,0.6312404460282,0.409164163711295,0.857633828866363,0.151442628877168,0.141569544669115,0.401880805739484,0.714517358957117,0.30506131302166
"Ameren.Corp.Utilities",0.983804752679829,0.56309467704812,0.314754923353332,0.0804890634117516,0.0853736108432677,0.547586917756477,0.118731063713659,0.260276124343887,0.523719098263093,0.215978500821588
"American.Airlines.Group.Industrials",0.198562507387158,0.499296415338696,0.135715358074049,0.137470916633232,0.90520458982037,0.118055787128931,0.55577280502416,0.703240669525834,0.386852287100875,0.037715796717431
"American.Electric.Power.Utilities",0.452300462735126,0.0397271270873321,0.807750840932612,0.848515171029777,0.431186264093234,0.0304722290190217,0.417120749526332,0.162874153868538,0.76016913188607,0.704511805246615
"American.Express.Co.Financials",0.853608895174235,0.838527564632124,0.317536522900039,0.405266027300521,0.315180594688211,0.347198251595108,0.576723618082042,0.389988696234323,0.902140206915559,0.048413085539685
"American.International.Group..Inc..Financials",0.405707752524196,0.364859891398921,0.824632653806093,0.9763184955001,0.937400780615577,0.0765955048357597,0.68534916147087,0.0381575752133402,0.799686070863498,0.421111321195479
"American.Tower.Corp.A.Financials",0.453342766984711,0.692551014838734,0.691966946705928,0.370440213337434,0.265137354255388,0.300278815351267,0.251658327214305,0.716156189951431,0.0990310055017554,0.262496560379295
"Ameriprise.Financial.Financials",0.740713669622699,0.624370357344013,0.448262984777459,0.0517695844197573,0.958621693786567,0.613568589230577,0.0179927014156002,0.0629518383587293,0.445476110493316,0.346945153901163
"AmerisourceBergen.Corp.Health.Care",0.443224919614836,0.511074240373078,0.198034656947313,0.823689265426073,0.323440605454752,0.769045571491574,0.239419432335244,0.475939773093234,0.752314290675539,0.862343357093203
"Ametek.Industrials",0.0787309058432777,0.0405242406430225,0.0779144582647491,0.579362962829554,0.24945832857029,0.687318455717143,0.644249465427009,0.470927185657129,0.0409464187593946,0.822843848394987
"Amgen.Inc.Health.Care",0.338670955892092,0.797797220787853,0.411440294597498,0.639290399426211,0.174082359365788,0.000566978553212641,0.190366139170165,0.584925618261794,0.477587263906326,0.760728802982798
"Amphenol.Corp.A.Industrials",0.248290557675437,0.324892640715415,0.156670296494306,0.036956614767341,0.566929322261312,0.332663013879929,0.873203836911265,0.403928023659384,0.251658217495374,0.0120875112158053
"Anadarko.Petroleum.Corp.Energy",0.224291177167065,0.274475397560489,0.420675430623704,0.633663868933041,0.658488871725762,0.183860919880293,0.590748643577331,0.78613198106528,0.166373499212019,0.380507437778067
"Analog.Devices..Inc..Information.Technology",0.890395901382951,0.83134990661776,0.0646725135811162,0.381374246940813,0.831726086359767,0.730916630760436,0.926371922850638,0.495948823534877,0.901048788568138,0.767754024326058
"Aon.plc.Financials",0.761302258281275,0.0901124876122798,0.045442862701378,0.000615599647378355,0.517042789348326,0.699105637419888,0.482533678352468,0.0179732388996824,0.755920663047469,0.188809168171522
"Apache.Corporation.Energy",0.93359425383549,0.756884537737525,0.447266611875922,0.724571705160577,0.264528628540694,0.783393495252691,0.757174477956953,0.387875687913133,0.692494781882292,0.827610157785585
