"Date","X3M.Conglomerate","American.Express.Consumer.finance","Apple.Consumer.electronics","Boeing.Aerospace.and.defense","Caterpillar.Construction.and.mining.equipment","Chevron.Oil...gas","Cisco.Systems.Computer.networking","Coca.Cola.Beverages","DuPont.Chemical.industry","ExxonMobil.Oil...gas","General.Electric.Conglomerate","Goldman.Sachs.Banking..Financial.services","The.Home.Depot.Home.improvement.retailer","Intel.Semiconductors","IBM.Computers.and.technology","Johnson...Johnson.Pharmaceuticals","JPMorgan.Chase.Banking","McDonald.s.Fast.food","Merck.Pharmaceuticals","Microsoft.Consumer.electronics","Nike.Apparel","Pfizer.Pharmaceuticals","Procter...Gamble.Consumer.goods","Travelers.Insurance","UnitedHealth.Group.Managed.health.care","United.Technologies.Conglomerate","Verizon.Telecommunication","Visa.Consumer.banking","Wal.Mart.Retail","Walt.Disney.Broadcasting.and.entertainment"
2010-01-04,72.443805,37.869772,28.718094,49.428632,51.229183,65.512958,22.208822,24.265826,28.569498,59.7695,12.866287,161.406903,25.07208,17.370008,118.634733,54.119531,37.936788,52.603554,29.934123,26.769336,30.294552,15.417889,51.45003,43.207549,29.122041,63.06255,23.74867,21.143966,47.361956,29.971584
2010-01-05,71.990052,37.786484,28.767737,51.047512,51.841659,65.977006,22.109876,23.972286,28.294311,60.002871,12.932908,164.260524,25.255726,17.36169,117.20163,53.491986,38.671622,52.201361,30.055446,26.777984,30.415082,15.197982,51.466866,42.183961,29.075859,62.12053,23.791484,20.901676,46.890344,29.896818
2010-01-06,73.011001,38.397287,28.310151,52.596005,51.999153,65.985288,21.965955,23.963779,28.386041,60.521477,12.866287,162.507313,25.168276,17.303456,116.440284,53.927081,38.884101,51.489145,30.459852,26.61365,30.229652,15.149114,51.222747,41.58542,29.362185,61.794789,23.107388,20.621004,46.785543,29.737942
2010-01-07,73.063361,39.020046,28.257821,54.725186,52.209143,65.736697,22.064901,23.904219,28.677906,60.331326,13.532503,165.687335,25.465608,17.137078,116.037224,53.54219,39.654349,51.866202,30.508381,26.336875,30.526339,15.092102,50.944959,42.183961,30.489011,62.058903,22.969843,20.812917,46.811742,29.747288
2010-01-08,73.578196,38.992162,28.445687,54.197288,52.795371,65.852707,22.181836,23.461786,28.302649,60.089304,13.823972,162.553944,25.343176,17.328414,117.20163,53.726268,39.556961,51.815927,30.492205,26.518508,30.466076,15.214272,50.877615,42.12324,30.202688,62.182157,22.984324,20.87049,46.57594,29.794015
2010-01-11,73.281513,38.546007,28.194745,53.555016,56.111485,67.021099,22.118871,23.938254,28.569498,60.763499,13.957215,159.989413,24.626082,17.428242,115.974519,53.734637,39.424159,52.21812,30.613525,26.181189,30.090582,15.336442,50.675588,42.105891,30.405884,63.529164,23.078428,20.810518,47.344488,29.308041
2010-01-12,73.342595,39.057227,27.874037,53.167893,54.457805,66.631639,21.768064,24.197759,28.352684,60.460973,13.965543,156.50166,24.468671,17.145397,116.897084,54.019122,38.503409,52.503007,30.370882,26.008204,30.048858,15.287574,51.25642,42.374797,29.602327,63.159394,23.100148,20.712162,47.798632,28.803374
2010-01-13,73.106988,39.178061,28.267213,53.810166,54.536552,66.126163,22.163846,24.26157,28.602854,60.218957,14.015509,157.667356,24.599846,17.43656,116.64629,54.362183,39.176265,52.444354,31.487043,26.250383,30.317732,15.645939,51.786746,42.522265,30.054907,63.881316,23.071188,20.904075,48.04317,29.242622
2010-01-14,72.862659,39.670691,28.103497,54.162098,54.230313,65.919001,22.442694,24.304113,28.427736,60.227602,13.90725,157.163768,24.748512,17.869146,118.509336,54.470955,39.565813,52.494629,32.344385,26.777984,30.127665,15.784399,51.837255,42.7478,30.775337,64.101414,22.600641,20.976043,47.344488,28.990288
2010-01-15,72.749223,39.401137,27.63383,53.511025,52.961765,65.653833,21.947964,23.946762,28.361022,59.734926,13.690729,154.067687,24.984629,17.303456,118.034619,54.019122,38.671622,52.184603,31.923802,26.691493,29.849521,15.873991,51.197495,42.322752,31.172498,63.379492,22.137343,20.664184,46.881612,28.59777
