"Company","MaxIndex"
"Ametek.Industrials",1
"Amgen.Inc.Health.Care",2
"Amphenol.Corp.A.Industrials",3
"Anadarko.Petroleum.Corp.Energy",7
"Analog.Devices..Inc..Information.Technology",3
"Mylan.N.V..Health.Care",2
"NASDAQ.OMX.Group.Financials",4
"National.Oilwell.Varco.Inc..Energy",7
"NetApp.Information.Technology",3
"Netflix.Inc..Information.Technology",3
"State.Street.Corp..Financials",4
"Stericycle.Inc.Industrials",6
"Stryker.Corp..Health.Care",2
"SunTrust.Banks.Financials",10
"Symantec.Corp..Information.Technology",3
"The.Travelers.Companies.Inc..Financials",4
"Thermo.Fisher.Scientific.Health.Care",2
"Torchmark.Corp..Financials",4
"Total.System.Services.Information.Technology",1
"Transocean.Energy",7
"Whole.Foods.Market.Consumer.Staples",9
"Williams.Cos..Energy",7
"Wisconsin.Energy.Corporation.Utilities",5
"Xcel.Energy.Inc.Utilities",5
"Xerox.Corp..Information.Technology",1
"Xilinx.Inc.Information.Technology",3
"XL.Capital.Financials",4
"Yahoo.Inc..Information.Technology",3
"Yum..Brands.Inc.Consumer.Discretionary",9
"Zimmer.Holdings.Health.Care",2
"Zions.Bancorp.Financials",10
