"Companies","Cluster-1","Cluster-2","Cluster-3","Cluster-4","Cluster-5","Cluster-6","Cluster-7","Cluster-8","Cluster-9","Cluster-10"
"Ametek.Industrials",0.311372783545207,0.446396576601375,0.276049201103356,0.1809734504979,0.232571669374997,0.13121744160809,0.647104902924181,0.912666634545473,0.121362745574856,0.0698310547134229
"Amgen.Inc.Health.Care",0.0807583524043778,0.782459541556005,0.294701449664742,0.453678455286662,0.340830712233568,0.000592096755306653,0.340459910077385,0.754369199120255,0.0926499037026705,0.412894615346934
"Amphenol.Corp.A.Industrials",0.712849212028212,0.760432081484113,0.121003704767353,0.0542582752933026,0.5011573539603,0.726407615664878,0.761288098912164,0.341287850760891,0.785010686677832,0.0101505470584942
"Anadarko.Petroleum.Corp.Energy",0.0734172074575731,0.0279303650228633,0.590349108597186,0.0344780041379684,0.448239487903973,0.346120579429404,0.486589757027112,0.119937579055323,0.381323635909985,0.00261256088614507
"Analog.Devices..Inc..Information.Technology",0.634543645392913,0.380823086892569,0.0686956152749906,0.649291736996003,0.971645094940829,0.532869528791124,0.941954008985637,0.909935073057164,0.434756958471041,0.924606515912795
"Mylan.N.V..Health.Care",0.74247048058221,0.660091312264153,0.121050723495776,0.545515496502806,0.584061659711473,0.198970105560751,0.0842139186923268,0.281055773748162,0.626726854419024,0.179401525431758
"NASDAQ.OMX.Group.Financials",0.23683500245164,0.766169411311003,0.162287124289438,0.384364645515498,0.978880117629882,0.734484041806269,0.796920147731587,0.717361857292921,0.227427672751298,0.218955180716021
"National.Oilwell.Varco.Inc..Energy",0.365765038419411,0.86671423527563,0.113508436291073,0.0475710212097536,0.0228902462282095,0.114052358504889,0.528731060776925,0.0628509212334649,0.234120678778568,0.696915565245235
"NetApp.Information.Technology",0.25950745730386,0.281354061483765,0.51768886712984,0.876663869105943,0.788670488397594,0.844340730873349,0.478736251899985,0.897056192930409,0.899587704826467,0.964502051464961
"Netflix.Inc..Information.Technology",0.0719722521690354,0.506755459988215,0.303564243049124,0.764211094681057,0.536757834335551,0.0897371941518933,0.916668229329939,0.539728167762843,0.170759852355433,0.599106870095802
