"Company","MinIndex"
"Ametek.Industrials",10
"Amgen.Inc.Health.Care",6
"Amphenol.Corp.A.Industrials",10
"Anadarko.Petroleum.Corp.Energy",10
"Analog.Devices..Inc..Information.Technology",3
"Mylan.N.V..Health.Care",7
"NASDAQ.OMX.Group.Financials",3
"National.Oilwell.Varco.Inc..Energy",5
"NetApp.Information.Technology",1
"Netflix.Inc..Information.Technology",1
"State.Street.Corp..Financials",10
"Stericycle.Inc.Industrials",6
"Stryker.Corp..Health.Care",10
"SunTrust.Banks.Financials",4
"Symantec.Corp..Information.Technology",6
"The.Travelers.Companies.Inc..Financials",4
"Thermo.Fisher.Scientific.Health.Care",4
"Torchmark.Corp..Financials",3
"Total.System.Services.Information.Technology",5
"Transocean.Energy",2
"Whole.Foods.Market.Consumer.Staples",9
"Williams.Cos..Energy",3
"Wisconsin.Energy.Corporation.Utilities",8
"Xcel.Energy.Inc.Utilities",1
"Xerox.Corp..Information.Technology",7
"Xilinx.Inc.Information.Technology",9
"XL.Capital.Financials",6
"Yahoo.Inc..Information.Technology",5
"Yum..Brands.Inc.Consumer.Discretionary",4
"Zimmer.Holdings.Health.Care",1
"Zions.Bancorp.Financials",2
